# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Futures (COIN-M) WebSocket	WebSocketRequest	POST	/userDataStream.start	startUserDataStream	USER_STREAM	AccountWrite	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@aggTrade	aggregateTradeStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/!bookTicker	allBookTickersStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/!forceOrder@arr	allMarketLiquidationOrderStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/!miniTicker@arr	allMarketMiniTickersStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/!ticker@arr	allMarketTickersStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{pair}_{contractType}@continuousKline_{interval}	continuousContractKlineCandlestickStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/!contractInfo	contractInfoStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@depth@{updateSpeed}	diffBookDepthStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{pair}@indexPriceKline_{interval}	indexKlineCandlestickStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{pair}@indexPrice@{updateSpeed}	indexPriceStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@bookTicker	individualSymbolBookTickerStreams	Public	Read	documented_active	provider_typed
